station,technology,buyout_gbp
Greenmount 225,Onshore Wind,563805
Bullsbrook,Onshore Wind,559974
Johnston150,Onshore Wind,559916
Watson-Crewmore Rd – GP,Onshore Wind,559716
Keeranbegwind,Onshore Wind,559222
Huntly Road,Onshore Wind,559172
Cody,Onshore Wind,556050
Boggs Northwind,Onshore Wind,553807
Stewart Northwind,Onshore Wind,551183
Maddybenny Farms,Onshore Wind,550865
Drones Road 150.,Onshore Wind,550729
BLYTH OFFSHORE WIND FARM,Offshore Wind,549428
Ash Loughmallon Road,Onshore Wind,547573
Fincairn Road,Onshore Wind,547077
Middle Road,Onshore Wind,546308
SP0379,Onshore Wind,544424
SP0238-GP,Onshore Wind,542473
PortglenonewindltdTurbine,Onshore Wind,539411
Ballynacrosswindltd,Onshore Wind,538820
The Rock 150,Onshore Wind,538035
Wind NI 1011,Onshore Wind,537943
Garrarooskywindltd,Onshore Wind,537299
Armstrong 1,Onshore Wind,534987
MRH Renewables,Onshore Wind,534098
Dunarnon Wind,Onshore Wind,532664
Legilly150,Onshore Wind,532582
SP0184,Onshore Wind,530974
TWGilpinTurbine,Onshore Wind,530921
Kidsroadwindltd,Onshore Wind,529986
Annaghorish,Onshore Wind,526974
Avinger Wind,Onshore Wind,525067
Drumcraig Wind,Onshore Wind,524002
Blythe Offshore Wind Turbine WTG 2,Offshore Wind,518940
Kilcrenny,Onshore Wind,517214
Aghanore rd,Onshore Wind,515413
McCay250,Onshore Wind,514599
Brendan's Tip 150,Onshore Wind,513511
SP0418,Onshore Wind,510935
Castlederg250,Onshore Wind,509943
FoydraghwindltdTurbine,Onshore Wind,509734
Wind NI 1023,Onshore Wind,508568
McConvilles Mill,Onshore Wind,506417
SP0282,Onshore Wind,503094
Browndod 150.,Onshore Wind,501643
ST PATRICKS RENEWABLE ENERGY LTD,Onshore Wind,501272
BlaneyPower,Onshore Wind,501232
SP0469,Onshore Wind,500971
Eagleson Farm,Onshore Wind,498927
MYNYDD GLANDULAS,Onshore Wind,498783
LGGLtd-GP,Onshore Wind,497952
Croaghan 150KW Wind Turbine,Onshore Wind,497927
Oakley Renewables Ltd,Onshore Wind,492707
Tullyskeagh Wind Farm.,Onshore Wind,492231
Barnes Farm,Onshore Wind,490931
Ardglass,Onshore Wind,489751
Airfield,Onshore Wind,489639
Castlevennon 150,Onshore Wind,488786
MK Green Energy,Onshore Wind,487917
Energair Wind 1.,Onshore Wind,487917
Mullawinny 150,Onshore Wind,486340
Beechhill Wind,Onshore Wind,486340
Beragh250,Onshore Wind,484264
D Rice Northwind100,Onshore Wind,481125
LYNCH KNOLL,Onshore Wind,480853
Currie Northwind,Onshore Wind,480747
CH Contracts,Onshore Wind,480733
Graham 150,Onshore Wind,479259
Bunlougher Wind Limited,Onshore Wind,471470
Lough Power PAK,Onshore Wind,470662
Drumahitt,Onshore Wind,469547
Maggie 7,Onshore Wind,466427
MCG Power,Onshore Wind,464583
FEL2 - Annets,Onshore Wind,464271
Irwin Wind - GP,Onshore Wind,460137
AJM Turbine 150KW,Onshore Wind,457266
NTR-WPL2-001,Onshore Wind,454140
Aughaglea,Onshore Wind,451011
Ballymagerny,Onshore Wind,450116
Drumdreenagh Wind.,Onshore Wind,448073
ABB,Onshore Wind,443971
NTR WPL1 001,Onshore Wind,442936
Ecclesgreen 150,Onshore Wind,441656
Wind NI 1006,Onshore Wind,440338
Pomeroy 225,Onshore Wind,438713
Lisnasure,Onshore Wind,438228
Airfield 1,Onshore Wind,435710
Antrim Area Hospital Wind Turbine - D,Onshore Wind,434644
Lagangreen Hill,Onshore Wind,434039
Barkers Road,Onshore Wind,433589
Montgomery1,Onshore Wind,431949
McKeefry Northwind,Onshore Wind,428354
Knockanloan,Onshore Wind,422588
MGT,Onshore Wind,421439
Doherty & Gray Turbine,Onshore Wind,419517
Slieve View Turbine,Onshore Wind,418893
Reenpro Cavan Rd,Onshore Wind,415565
Minerstown Farm,Onshore Wind,415145
Drumcrow WT,Onshore Wind,414665
ORRA Wind,Onshore Wind,413031
Moorfields,Onshore Wind,412311
St Mary's Wind Turbine,Onshore Wind,412072
Carrickrovaddy,Onshore Wind,407774
Carland Wind 01,Onshore Wind,407670
Cullybackey,Onshore Wind,406742
Moyle Hills Turbine,Onshore Wind,404425
Deerpark,Onshore Wind,402223
CLAUDY,Onshore Wind,402144
Drumslade.,Onshore Wind,401812
Reain-Levallyreagh Road,Onshore Wind,400052
Tyrone GAEL,Onshore Wind,400025
Birt150kW,Onshore Wind,399916
TWF,Onshore Wind,398897
Tamlagh Energy,Onshore Wind,397429
Lylehill Road,Onshore Wind,395713
Slieveboy,Onshore Wind,391900
DrumkeeWindTurbine,Onshore Wind,388523
Mowhan,Onshore Wind,387227
Culmore Renewables,Onshore Wind,385028
Lavery Windworld – GP,Onshore Wind,384369
S+T Wind 01.,Onshore Wind,384340
Carrickbrack 2.0,Onshore Wind,380977
RNewell Northwind,Onshore Wind,379884
Hilltop 01,Onshore Wind,379187
Energair Wind 2.,Onshore Wind,376893
Coolmagheny Wind,Onshore Wind,374188
Letterbreen,Onshore Wind,370991
Eden Road,Onshore Wind,370200
Jill Hunter Turbine,Onshore Wind,369356
Glassdrummond,Onshore Wind,368964
CKZ,Onshore Wind,367580
JE Wind,Onshore Wind,364184
Markethill,Onshore Wind,359242
Clady,Onshore Wind,358894
Naylor Hill,Onshore Wind,349498
Craighall Wind,Onshore Wind,347571
NTBSpark,Onshore Wind,343646
Carrowcolman,Onshore Wind,342480
Springvale,Onshore Wind,342050
T. A. & M. Enterprises,Onshore Wind,336911
Loguestown.,Onshore Wind,331209
MCRD Wind LTD.,Onshore Wind,328526
Loughdurance,Onshore Wind,328183
Bellaghy 150,Onshore Wind,322313
Curragh Road - Replacement,Onshore Wind,321484
Feglish 150,Onshore Wind,318467
Dungorman,Onshore Wind,317708
Cloughfin,Onshore Wind,316237
Cahore,Onshore Wind,312776
Rainoss,Onshore Wind,311800
Edenamohill250,Onshore Wind,309713
Swansea Docks 1 - D,Onshore Wind,308756
RMEnergy.,Onshore Wind,308736
BARANAILT,Onshore Wind,307241
ReidEndurance,Onshore Wind,306113
Annaghmore,Onshore Wind,305683
Drumneath,Onshore Wind,304975
NONQ No.2,Onshore Wind,303735
Cavan Hill 150,Onshore Wind,303075
Orchard Road,Onshore Wind,297204
Cloghfin Wind,Onshore Wind,292417
Nutfield Road,Onshore Wind,291969
Legananny Wind,Onshore Wind,290771
Don Wind 01 - GP,Onshore Wind,290418
Wind Turbine Fox,Onshore Wind,290070
Lodge,Onshore Wind,288287
NWW Tullynadall West,Onshore Wind,286312
Barnmeen 2,Onshore Wind,282943
Mullaghcreevy,Onshore Wind,281798
Blackbridge,Onshore Wind,280005
Clar Gen,Onshore Wind,277852
Springwell,Onshore Wind,274232
Dunman,Onshore Wind,272813
Ladyhill,Onshore Wind,271850
Claremore 150,Onshore Wind,269519
Cabragh,Onshore Wind,266202
Kilycolp,Onshore Wind,258378
Beragh,Onshore Wind,256970
Ballygowan wind turbine,Onshore Wind,251931
Aer Fhorsa 250,Onshore Wind,239925
Clar Upper,Onshore Wind,226411
Olivia Menary,Onshore Wind,224447
Killeenan,Onshore Wind,219923
ColtonWind,Onshore Wind,216047
Screen Energy T1,Onshore Wind,211988
Ballintrain,Onshore Wind,206636
Dunaird Energy 150,Onshore Wind,203899
Naked Wind,Onshore Wind,202294
TubberWind,Onshore Wind,197134
Crockanboy,Onshore Wind,195874
Curragh Road,Onshore Wind,191729
Colton Quarries Wind,Onshore Wind,190945
Shannaragh Wind,Onshore Wind,189387
Wilkinson Vestas V17,Onshore Wind,186514
PMD 55,Onshore Wind,176330
Legilly55,Onshore Wind,168736
Barnard Castle GSK Wind Turbines - D,Onshore Wind,167965
Gortgole 150,Onshore Wind,159857
Cameron 01,Onshore Wind,159694
Reaney,Onshore Wind,158754
Collins wind station,Onshore Wind,153905
Moyola,Onshore Wind,153543
Cairncastle East,Onshore Wind,144834
Michael Lilly,Onshore Wind,140655
Dromore 150,Onshore Wind,138782
Pitkinnie Wind Turbine (Forsyth),Onshore Wind,135785
RAPID INTERNATIONAL,Onshore Wind,132687
Spa Wind Turbines Ltd,Onshore Wind,131793
Tullyhubbert,Onshore Wind,127818
Bruxiehill Wind Energy Ltd,Onshore Wind,125634
Crosscavanagh Wind 225,Onshore Wind,120015
Torrard Turbine,Onshore Wind,112554
Newlands 2 - A,Onshore Wind,108155
"The Renewable Energy Centre - A, C, D",Onshore Wind,105197
Connaught (13/12/2007),Onshore Wind,104001
Lough Moss Turbine,Onshore Wind,98553
Hydrogen Mini Grid at the AMP,Onshore Wind,97863
gortlea windturbine,Onshore Wind,97678
Skea01,Onshore Wind,92287
Corranny Wind,Onshore Wind,88848
Ballybogey,Onshore Wind,86034
Graham Wind,Onshore Wind,85036
Cooks Wind Station.,Onshore Wind,83900
Crawford wind 1,Onshore Wind,79055
"Fair Isle - C,D,E",Onshore Wind,75404
"Chelker Windfarm- A,C",Onshore Wind,71116
"The ECO Centre, Hebburn - D",Onshore Wind,67023
Gallowhill,Onshore Wind,64487
Carnduff,Onshore Wind,57315
131 Drumaney  Road,Onshore Wind,53994
Birsay Energy,Onshore Wind,48905
Wood Green Animal Shelters,Onshore Wind,48515
Hill of Burns,Onshore Wind,48421
Middlefields Wind Turbine - D,Onshore Wind,38128
Ballyknockan Road,Onshore Wind,37977
Faccombe Estates - A,Onshore Wind,32665
"MT Waste (29/08/2007), D",Onshore Wind,32395
Isle of Luing Wind Energy Scheme - A,Onshore Wind,30942
The Greenhouse,Onshore Wind,28109
Newstead,Onshore Wind,25884
Dotterel Farm Wind Turbine- D,Onshore Wind,25837
Bancran V20  - D,Onshore Wind,25236
Ballygowan wind turbine,Onshore Wind,24760
Grove House - Y,Onshore Wind,23379
Carhill Wind Turbine,Onshore Wind,22496
Pil Gen 1 - D,Onshore Wind,21113
Cypex Ltd,Onshore Wind,20429
BDCR Vestas V17,Onshore Wind,15703
"West Beacon Farm - A,C,D",Onshore Wind,14553
32a Clone Road,Onshore Wind,14541
Discover Carmichael Visitor Centre,Onshore Wind,10923
Longley Farm,Onshore Wind,9607
Cowhill,Onshore Wind,9112
Graham Wind,Onshore Wind,9085
gortlea windturbine,Onshore Wind,8537
8 River road,Onshore Wind,7646
Bellaghy 150,Onshore Wind,6755
Whannordtank,Onshore Wind,6365
AMRC,Onshore Wind,5541
wychbold windfarm,Onshore Wind,3161
Portland Marina,Onshore Wind,3047
SHL Turbine 1,Onshore Wind,1748
Discover Carmichael Visitor Centre,Onshore Wind,1617
GEN0183389,Onshore Wind,1562
Trillick,Onshore Wind,909
Liniclate Wind Turbine - D,Onshore Wind,322
Lazyfold,Onshore Wind,149
