station,technology,buyout_gbp
BEINN GHLAS WINDFARM,Onshore Wind,13984067
Kelmarsh Wind Farm_Full,Onshore Wind,13662473
Taff Ely Wind Farm - A,Onshore Wind,13639461
Wern Ddu,Onshore Wind,13622281
Seegronan1 Windfarm,Onshore Wind,13577018
Sober Hill A,Onshore Wind,13539409
Strath of Brydock,Onshore Wind,13436458
Burgar Hill Wind Farm - A,Onshore Wind,13364940
St Breock Wind Farm,Onshore Wind,13238348
Langley,Onshore Wind,13133875
Carcant Windfarm,Onshore Wind,13076430
Cregganconroe WF,Onshore Wind,13068972
Rhyd Y Groes Windfarm - A,Onshore Wind,12938554
Forss Wind Farm Phase 2,Onshore Wind,12869373
GWEL Operating Company Ltd,Onshore Wind,12788463
Barlockhart Moor Wind Energy Limited,Onshore Wind,12753592
Boardinghouse Windfarm Limited,Onshore Wind,12748310
FEPODWT,Offshore Wind,12718081
Corkey Windfarm,Onshore Wind,12676074
Red Gap Moor,Onshore Wind,12651694
"McCain Foods Whittlesey - A,D (18/10/2007)",Onshore Wind,12456577
Lough Hill Wind Farm - A,Onshore Wind,12353531
Mynydd Portref Windfarm Extension,Onshore Wind,12314917
Lendrums Bridge Extension Site,Onshore Wind,12226075
Marr Wind Farm,Onshore Wind,12206383
Lilbourne Wind Farm,Onshore Wind,12181880
Red House Wind Farm - A,Onshore Wind,12100363
Monnaboy Windfarm,Onshore Wind,12099450
Watford Lodge Wind Farm,Onshore Wind,11962824
Altamuskin Wind Farm,Onshore Wind,11915736
St John Hill,Onshore Wind,11915441
Achairn Energy,Onshore Wind,11838145
Shantavny Wind Park,Onshore Wind,11780757
Hook Moor Wind Farm,Onshore Wind,11744564
New Albion Wind Farm,Onshore Wind,11608620
Flimby,Onshore Wind,11566218
Sheerness Wind Farm,Onshore Wind,11563818
Torrance Windfarm,Onshore Wind,11422141
Rigged Hill Windfarm,Onshore Wind,11288622
Teiges Mountain Wind Farm,Onshore Wind,11286313
Hazlehead,Onshore Wind,11252988
Boyndie - A,Onshore Wind,11244541
Hammars Hill,Onshore Wind,11241260
Spaldington Airfield Wind Farm (1),Onshore Wind,11226272
Wear Point Wind Farm,Onshore Wind,11218057
Owenreagh Wind Farm,Onshore Wind,11022564
North Pickenham Windfarm - A,Onshore Wind,10664279
Walkway Wind Farm 1,Onshore Wind,10658356
Srondoire Wind Farm,Onshore Wind,10639641
Port of Tilbury Wind Farm,Onshore Wind,10565960
Mynydd Portref Windfarm,Onshore Wind,10542697
Ark Hill Wind Farm,Onshore Wind,10497760
Muirhall WF Extension 1 LTD,Onshore Wind,10472693
Bilsthorpe Wind Farm,Onshore Wind,10407437
"Bristol Port Wind Park Ltd - A,D,  (01/07/2007)",Onshore Wind,10350712
Inishative WF,Onshore Wind,10334663
Heysham South Wind Farm,Onshore Wind,10331530
Beinn Ghrideag wind farm,Onshore Wind,10314082
Blackstone Edge,Onshore Wind,10312222
Winscales Phase II,Onshore Wind,10300971
Crockdun,Onshore Wind,10250284
Sisters Wind Farm - GP,Onshore Wind,10242064
St. Fergus,Onshore Wind,10233259
Westfield Wind Farm,Onshore Wind,10220759
Spicer Hill Wind Farm,Onshore Wind,10172053
Good Energy Hampole Windfarm,Onshore Wind,10096430
Ramsey 2 Wind Farm,Onshore Wind,10081900
Hill of Fiddes Wind Farm,Onshore Wind,10075255
Hallburn Farm Wind Farm - GP,Onshore Wind,10074416
Deeping St Nicholas Wind Farm - A,Onshore Wind,10045002
Lairg Wind Farm Limited,Onshore Wind,10020173
Tullymurdoch Windfarm,Onshore Wind,9747284
Tedder Hill,Onshore Wind,9698180
Lochcarnan Community Wind Farm,Onshore Wind,9691424
"Hameldon Hill Wind Farm - A, E (01/02/07)",Onshore Wind,9662272
TRYSGLWYN,Onshore Wind,9602525
Ferndale Wind farm,Onshore Wind,9578307
Lambs Hill,Onshore Wind,9571356
Cairnborrow Wind Farm,Onshore Wind,9568382
Winscales Moor Wind Farm,Onshore Wind,9475591
Lochhead Wind Farm,Onshore Wind,9467062
Muirhall Windfarm Extension Ltd,Onshore Wind,9425943
Newton of Fortrie,Onshore Wind,9173503
Walkway Wind Farm 2,Onshore Wind,9167001
Elliots Hill,Onshore Wind,9149842
LOWCA,Onshore Wind,9126482
