cfd_id,station,unit_name
AR6-KHW-600,Kirk Hill,Kirk Hill Wind Farm
AR6-LAW-700,Laynes,Laynes Wood
AR6-LCS-700,Little Crow,Little Crow Solar Park
AR6-LDS-700,Leigh,Leigh Delamere Solar
AR6-LEC-700,Leckhampstead,Leckhampstead Farm
AR6-LES-700,LEEMING,LEEMING SOLAR FARM LIMITED
AR6-LEW-610,Lethans,Lethans Wind Farm
AR6-LON-700,LONGPASTURE,LONGPASTURE SOLAR FARM LIMITED
AR6-LSE-710,Longfield,Longfield Solar Energy Farm
AR6-LSO-700,Low Farm II,Low Farm Solar Farm
AR6-LWF-610,Lorg,Lorg Wind Farm
AR6-MAE-700,Maesmawr,Maesmawr Solar Park
AR6-MEC-700,MONTREATHMONT,MONTREATHMONT ENERGY CENTRE LIMITED
AR6-MED-510,MeyGen,MeyGen AR62
AR6-MEM-500,Magallanes,Magallanes EMEC Berth 1 Extension
AR6-MES-700,Meerdyke,Meerdyke Solar Farm
AR6-MOW-010,Moray West Ext,Moray Offshore Windfarm (West) String 9
AR6-MSO-700,Moat Farm,Moat Farm Solar Farm
AR6-NDS-700,North Dairy,North Dairy Solar Park
AR6-NEC-700,Nextpower Chapel,NEXTPOWER CHAPEL LIMITED
AR6-NES-700,Nextpower SPV14,NEXTPOWER SPV 14 LIMITED
AR6-NHW-700,Nextpower Horton,NEXTPOWER HORTON WOOD Ltd
AR6-NRT-710,NRT24,NRT24
AR6-NSO-700,NextPower SPV12,NEXTPOWER SPV 12 LIMITED
AR6-OCF-504,Oceanstar 5,OCEANSTAR 5
AR6-OCO-504,Oceanstar 1,OCEANSTAR 1
AR6-OSS-700,Osberton,Osberton Solar
AR6-PAS-700,Parkgate,Parkgate Farm Solar
AR6-PHS-700,Preston,Preston Hill Solar Farm
AR6-PRW-610,Priestgill,Priestgill Wind Farm
AR6-PSO-700,Preston,Preston Farm Solar
AR6-PYM-600,Pant y Maen,Pant y Maen Wind Limited
AR6-RAF-710,Rayleigh Fobbing,Rayleigh Fobbing
AR6-RAS-700,Rayleigh,Rayleigh Solar Farm
AR6-ROS-700,Rock Farm,Rock Farm Solar Farm
AR6-SEH-700,STRATHRUDDIE,STRATHRUDDIE ENERGY CENTRE LIMITED
AR6-SEO-504,SEASTAR,SEASTAR 1
AR6-SHP-700,Sheepwash,Sheepwash Solar Farm
AR6-SHS-700,Sheraton,Sheraton Hall Solar Farm
AR6-SKS-700,Skeeby,Skeeby Solar Farm
AR6-SOS-700,South Park,South Park Solar Farm
AR6-SSO-700,Stargoose,Stargoose Solar Farm
AR6-STS-700,Steeraway,Steeraway Solar Farm
AR6-TAS-700,Tamworth,Tamworth Solar LTD
AR6-TAT-600,Tacher,Tacher Turbines
AR6-TES-700,Thorpe,Thorpe Estate Solar PV
AR6-THS-700,Tolldish,Tolldish Hall Farm Solar
AR6-WEM-700,Wemyss,Wemyss Solar Farm
AR6-WHA-700,Whaddon,Whaddon Farm Solar Park
AR6-WHS-700,West House,West House Solar Farm
